"Age","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","JobInvolvement","JobSatisfaction","PerformanceRating","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition"
35,"Travel_Rarely","Research & Development",16,"Bachelor","Medical","Low","Male","Very High","Medium","Excellent",1,"Laboratory Technician","Married",2426,0,"No",13,"High",1,6,5,"Better",5,4,0,3,"No"
29,"Travel_Rarely","Research & Development",15,"College","Life Sciences","Very High","Female","Medium","High","Excellent",2,"Laboratory Technician","Single",4193,0,"Yes",12,"Very High",0,10,3,"Better",9,5,0,8,"No"
31,"Travel_Rarely","Research & Development",26,"Below College","Life Sciences","Low","Male","High","High","Excellent",1,"Research Scientist","Divorced",2911,1,"No",17,"Very High",1,5,1,"Good",5,2,4,3,"No"
34,"Travel_Rarely","Research & Development",19,"College","Medical","Medium","Male","High","Very High","Excellent",1,"Laboratory Technician","Divorced",2661,0,"No",11,"High",1,3,2,"Better",2,2,1,2,"No"
28,"Travel_Rarely","Research & Development",24,"Bachelor","Life Sciences","High","Male","Medium","High","Excellent",1,"Laboratory Technician","Single",2028,5,"Yes",14,"Medium",0,6,4,"Better",4,2,0,3,"Yes"
29,"Travel_Rarely","Research & Development",21,"Master","Life Sciences","Medium","Female","Very High","Low","Excellent",3,"Manufacturing Director","Divorced",9980,1,"No",11,"High",1,10,1,"Better",10,9,8,8,"No"
32,"Travel_Rarely","Research & Development",5,"College","Life Sciences","Low","Male","Very High","Medium","Excellent",1,"Research Scientist","Divorced",3298,0,"Yes",12,"Very High",2,7,5,"Good",6,2,0,5,"No"
22,"Non-Travel","Research & Development",16,"College","Medical","Very High","Male","Very High","Very High","Excellent",1,"Laboratory Technician","Divorced",2935,1,"Yes",13,"Medium",2,1,2,"Good",1,0,0,0,"No"
53,"Travel_Rarely","Sales",2,"Master","Life Sciences","Low","Female","Medium","Very High","Excellent",4,"Manager","Married",15427,2,"No",16,"High",0,31,3,"Better",25,8,3,7,"No"
38,"Travel_Rarely","Research & Development",2,"Bachelor","Life Sciences","Very High","Male","High","Very High","Excellent",1,"Research Scientist","Single",3944,5,"Yes",11,"High",0,6,3,"Better",3,2,1,2,"No"
24,"Non-Travel","Research & Development",11,"College","Other","Low","Female","Very High","High","Excellent",2,"Manufacturing Director","Divorced",4011,0,"No",18,"Very High",1,5,5,"Good",4,2,1,3,"No"
36,"Travel_Rarely","Sales",9,"Master","Life Sciences","High","Male","Medium","Low","Outstanding",1,"Sales Representative","Single",3407,7,"No",23,"Medium",0,10,4,"Better",5,3,0,3,"Yes"
34,"Travel_Rarely","Research & Development",7,"Master","Life Sciences","Low","Female","High","Medium","Excellent",3,"Research Director","Single",11994,0,"No",11,"High",0,13,4,"Better",12,6,2,11,"No"
21,"Travel_Rarely","Research & Development",15,"College","Life Sciences","High","Male","High","Very High","Excellent",1,"Research Scientist","Single",1232,1,"No",14,"Very High",0,0,6,"Better",0,0,0,0,"No"
34,"Travel_Rarely","Research & Development",6,"Below College","Medical","Medium","Male","High","Low","Excellent",1,"Research Scientist","Single",2960,2,"No",11,"High",0,8,2,"Better",4,2,1,3,"Yes"
53,"Travel_Rarely","Research & Development",5,"Bachelor","Other","High","Female","High","High","Excellent",5,"Manager","Divorced",19094,4,"No",11,"Very High",1,26,3,"Good",14,13,4,8,"No"
32,"Travel_Frequently","Research & Development",16,"Below College","Life Sciences","Medium","Female","Low","Low","Outstanding",1,"Research Scientist","Single",3919,1,"Yes",22,"Medium",0,10,5,"Better",10,2,6,7,"Yes"
42,"Travel_Rarely","Sales",8,"Master","Marketing","High","Male","High","Medium","Excellent",2,"Sales Executive","Married",6825,0,"No",11,"Very High",1,10,2,"Better",9,7,4,2,"No"
44,"Travel_Rarely","Research & Development",7,"Master","Medical","Low","Female","Medium","Very High","Excellent",3,"Healthcare Representative","Married",10248,3,"No",14,"Very High",1,24,4,"Better",22,6,5,17,"No"
46,"Travel_Rarely","Sales",2,"Master","Marketing","Medium","Female","High","Low","Excellent",5,"Manager","Single",18947,3,"No",12,"Very High",0,22,2,"Good",2,2,2,1,"No"
33,"Travel_Rarely","Research & Development",2,"Bachelor","Medical","High","Male","High","Very High","Excellent",1,"Laboratory Technician","Single",2496,4,"No",11,"Very High",0,7,3,"Better",1,1,0,0,"No"
44,"Travel_Rarely","Research & Development",10,"Master","Other","Very High","Male","High","Very High","Excellent",2,"Healthcare Representative","Married",6465,2,"Yes",13,"Very High",0,9,5,"Best",4,2,1,3,"No"
30,"Travel_Rarely","Research & Development",9,"College","Medical","Very High","Male","Medium","High","Excellent",1,"Laboratory Technician","Single",2206,1,"No",13,"Low",0,10,5,"Better",10,0,1,8,"No"
39,"Travel_Rarely","Sales",5,"Bachelor","Technical Degree","Very High","Male","High","Very High","Excellent",2,"Sales Representative","Married",2086,3,"No",14,"High",1,19,6,"Best",1,0,0,0,"Yes"
24,"Travel_Rarely","Research & Development",1,"Bachelor","Medical","Medium","Male","High","Very High","Excellent",1,"Research Scientist","Married",2293,2,"Yes",16,"Low",1,6,2,"Good",2,0,2,0,"Yes"
43,"Travel_Rarely","Research & Development",2,"College","Medical","Very High","Female","Very High","High","Excellent",1,"Research Scientist","Divorced",2645,1,"No",12,"Very High",2,6,3,"Good",5,3,1,4,"No"
50,"Travel_Rarely","Sales",3,"College","Marketing","Low","Male","Medium","High","Excellent",1,"Sales Representative","Married",2683,1,"Yes",14,"High",0,3,2,"Better",3,2,0,2,"Yes"
35,"Travel_Rarely","Sales",2,"Bachelor","Marketing","Very High","Female","High","Very High","Excellent",1,"Sales Representative","Married",2014,1,"No",13,"Low",0,2,3,"Better",2,2,2,2,"No"
36,"Travel_Rarely","Research & Development",5,"Master","Life Sciences","Medium","Female","Medium","Low","Excellent",1,"Research Scientist","Married",3419,9,"Yes",14,"Very High",1,6,3,"Best",1,1,0,0,"No"
33,"Travel_Frequently","Sales",1,"Bachelor","Life Sciences","High","Female","Very High","Low","Excellent",2,"Sales Executive","Married",5376,2,"No",19,"Low",2,10,3,"Better",5,3,1,3,"No"
35,"Travel_Rarely","Research & Development",4,"College","Other","High","Male","High","Very High","Excellent",1,"Laboratory Technician","Divorced",1951,1,"No",12,"High",1,1,3,"Better",1,0,0,0,"No"
27,"Travel_Rarely","Research & Development",2,"Master","Life Sciences","Very High","Female","High","Low","Excellent",1,"Laboratory Technician","Divorced",2341,1,"No",13,"Very High",1,1,6,"Better",1,0,0,0,"No"
26,"Travel_Rarely","Research & Development",25,"Bachelor","Life Sciences","Low","Male","Low","High","Excellent",1,"Laboratory Technician","Single",2293,1,"No",12,"High",0,1,2,"Good",1,0,0,1,"Yes"
27,"Travel_Frequently","Sales",8,"Bachelor","Life Sciences","Very High","Male","High","High","Excellent",3,"Sales Executive","Single",8726,1,"No",15,"Very High",0,9,0,"Better",9,8,1,7,"No"
30,"Travel_Frequently","Research & Development",1,"College","Medical","High","Female","High","Very High","Outstanding",2,"Laboratory Technician","Single",4011,1,"No",23,"Very High",0,12,2,"Better",12,8,3,7,"No"
41,"Travel_Rarely","Research & Development",12,"Bachelor","Technical Degree","Medium","Female","High","High","Excellent",5,"Research Director","Married",19545,1,"No",12,"Very High",0,23,0,"Better",22,15,15,8,"Yes"
34,"Non-Travel","Sales",23,"Master","Marketing","Medium","Male","High","High","Outstanding",2,"Sales Executive","Single",4568,0,"No",20,"High",0,10,2,"Better",9,5,8,7,"No"
37,"Travel_Rarely","Research & Development",19,"College","Life Sciences","Medium","Male","High","Medium","Outstanding",1,"Research Scientist","Married",3022,4,"No",21,"Low",0,8,1,"Better",1,0,0,0,"No"
46,"Travel_Frequently","Sales",5,"Master","Marketing","Low","Male","High","Very High","Outstanding",2,"Sales Executive","Single",5772,4,"Yes",21,"High",0,14,4,"Better",9,6,0,8,"No"
35,"Travel_Rarely","Research & Development",8,"Below College","Life Sciences","Very High","Male","Very High","Very High","Excellent",1,"Laboratory Technician","Married",2269,1,"No",19,"Very High",0,1,2,"Better",1,0,0,1,"No"
48,"Travel_Rarely","Research & Development",1,"College","Life Sciences","Low","Male","Medium","High","Excellent",3,"Laboratory Technician","Single",5381,9,"Yes",13,"Very High",0,23,2,"Better",1,0,0,0,"Yes"
28,"Travel_Rarely","Research & Development",5,"Master","Technical Degree","High","Male","High","High","Excellent",1,"Laboratory Technician","Single",3441,1,"Yes",13,"High",0,2,3,"Good",2,2,2,2,"Yes"
44,"Travel_Rarely","Sales",1,"Doctor","Marketing","Medium","Female","High","Low","Outstanding",2,"Sales Executive","Divorced",5454,5,"Yes",21,"High",1,9,2,"Good",4,3,1,3,"No"
35,"Non-Travel","Research & Development",11,"College","Medical","High","Male","Medium","Low","Excellent",3,"Healthcare Representative","Married",9884,2,"Yes",13,"High",1,10,3,"Better",4,0,2,3,"No"
26,"Travel_Rarely","Sales",23,"Bachelor","Marketing","High","Female","Medium","Very High","Excellent",2,"Sales Executive","Married",4157,7,"Yes",19,"High",1,5,2,"Good",2,2,0,0,"No"
33,"Travel_Frequently","Research & Development",1,"College","Life Sciences","Low","Female","High","Very High","Excellent",3,"Research Director","Single",13458,1,"Yes",12,"High",0,15,1,"Better",15,14,8,12,"No"
35,"Travel_Frequently","Sales",18,"Doctor","Life Sciences","Medium","Male","High","Low","Outstanding",3,"Sales Executive","Married",9069,1,"No",22,"Very High",1,9,3,"Good",9,8,1,8,"No"
35,"Travel_Rarely","Research & Development",23,"Master","Medical","High","Female","High","Low","Excellent",1,"Laboratory Technician","Married",4014,3,"Yes",15,"High",1,4,3,"Better",2,2,2,2,"No"
31,"Travel_Rarely","Research & Development",7,"Master","Life Sciences","Very High","Male","High","Very High","Outstanding",2,"Laboratory Technician","Divorced",5915,3,"No",22,"Very High",1,10,3,"Good",7,7,1,7,"No"
37,"Travel_Rarely","Research & Development",1,"Master","Life Sciences","Low","Male","Medium","High","Excellent",2,"Manufacturing Director","Divorced",5993,1,"No",18,"High",1,7,2,"Best",7,5,0,7,"No"
32,"Travel_Rarely","Research & Development",1,"Bachelor","Medical","Low","Male","High","Very High","Outstanding",2,"Manufacturing Director","Married",6162,1,"Yes",22,"Medium",1,9,3,"Better",9,8,7,8,"No"
38,"Travel_Frequently","Research & Development",29,"Doctor","Life Sciences","Very High","Female","High","Very High","Excellent",2,"Laboratory Technician","Single",2406,1,"No",11,"Very High",0,10,2,"Better",10,3,9,9,"No"
50,"Travel_Rarely","Research & Development",7,"College","Medical","Medium","Female","Medium","High","Excellent",5,"Research Director","Divorced",18740,5,"Yes",12,"Very High",1,29,2,"Good",27,3,13,8,"No"
59,"Travel_Rarely","Sales",25,"Bachelor","Life Sciences","Low","Female","High","Low","Excellent",3,"Sales Executive","Single",7637,7,"No",11,"Very High",0,28,3,"Good",21,16,7,9,"No"
36,"Travel_Rarely","Research & Development",8,"Bachelor","Technical Degree","High","Female","High","High","Excellent",3,"Healthcare Representative","Divorced",10096,1,"No",13,"Medium",3,17,2,"Better",17,14,12,8,"No"
55,"Travel_Rarely","Research & Development",8,"Bachelor","Medical","Very High","Female","High","High","Excellent",4,"Manager","Divorced",14756,2,"Yes",14,"High",3,21,2,"Better",5,0,0,2,"No"
36,"Travel_Frequently","Research & Development",11,"Bachelor","Life Sciences","Medium","Male","Medium","Medium","Excellent",2,"Manufacturing Director","Single",6499,1,"No",13,"High",0,6,3,"Better",6,5,0,3,"No"
45,"Travel_Rarely","Research & Development",7,"Bachelor","Life Sciences","Medium","Male","High","Low","Excellent",3,"Research Scientist","Divorced",9724,2,"No",17,"High",1,25,2,"Better",1,0,0,0,"No"
35,"Travel_Frequently","Research & Development",1,"Bachelor","Medical","Medium","Male","High","Low","Excellent",1,"Research Scientist","Married",2194,4,"No",13,"Very High",1,5,2,"Good",3,2,1,2,"No"
36,"Travel_Rarely","Research & Development",9,"Bachelor","Medical","Very High","Male","Medium","High","Excellent",1,"Research Scientist","Married",3388,0,"Yes",17,"Low",1,2,0,"Good",1,0,0,0,"Yes"
59,"Travel_Frequently","Sales",1,"Below College","Life Sciences","Low","Female","Medium","High","Excellent",2,"Sales Executive","Single",5473,7,"No",11,"Very High",0,20,2,"Good",4,3,1,3,"No"
29,"Travel_Rarely","Research & Development",2,"Bachelor","Life Sciences","High","Male","High","Medium","Outstanding",1,"Research Scientist","Married",2703,0,"No",23,"Very High",1,6,3,"Better",5,4,0,4,"No"
31,"Travel_Rarely","Research & Development",1,"Master","Medical","High","Male","High","Medium","Excellent",1,"Research Scientist","Single",2501,1,"No",17,"Medium",0,1,4,"Better",1,1,1,0,"No"
32,"Travel_Rarely","Research & Development",1,"Bachelor","Life Sciences","Medium","Male","High","Medium","Excellent",2,"Research Scientist","Married",6220,1,"No",17,"Medium",2,10,3,"Better",10,4,0,9,"No"
36,"Travel_Rarely","Research & Development",6,"Bachelor","Life Sciences","Medium","Female","Very High","Very High","Excellent",1,"Laboratory Technician","Married",3038,3,"No",12,"Medium",0,5,3,"Better",1,0,0,0,"No"
31,"Travel_Rarely","Research & Development",8,"Master","Life Sciences","High","Female","High","Very High","Outstanding",2,"Manufacturing Director","Single",4424,1,"No",23,"Very High",0,11,2,"Better",11,7,1,8,"No"
35,"Travel_Rarely","Sales",1,"Master","Marketing","High","Male","Medium","Low","Excellent",2,"Sales Executive","Single",4312,0,"No",14,"Medium",0,16,2,"Better",15,13,2,8,"No"
45,"Travel_Rarely","Research & Development",6,"Master","Other","Very High","Male","High","Low","Excellent",3,"Research Director","Married",13245,4,"Yes",14,"Medium",0,17,3,"Best",0,0,0,0,"No"
37,"Travel_Rarely","Research & Development",7,"Master","Medical","Low","Male","High","High","Excellent",3,"Research Director","Single",13664,4,"No",13,"Low",0,16,3,"Best",5,2,0,2,"No"
46,"Travel_Rarely","Human Resources",5,"College","Medical","Medium","Male","High","Medium","Outstanding",2,"Human Resources","Divorced",5021,8,"Yes",22,"Very High",1,16,2,"Better",4,2,0,2,"No"
30,"Travel_Rarely","Research & Development",1,"Below College","Life Sciences","Very High","Male","Medium","Very High","Excellent",2,"Laboratory Technician","Married",5126,1,"Yes",12,"High",2,10,1,"Good",10,8,3,0,"No"
35,"Travel_Rarely","Research & Development",1,"Bachelor","Medical","Medium","Male","Medium","High","Excellent",1,"Research Scientist","Single",2859,1,"No",18,"Low",0,6,3,"Better",6,4,0,4,"No"
55,"Travel_Rarely","Sales",1,"College","Life Sciences","Low","Male","High","Very High","Excellent",3,"Sales Executive","Married",10239,3,"No",14,"Very High",1,24,4,"Better",1,0,1,0,"No"
38,"Non-Travel","Research & Development",6,"Bachelor","Medical","Medium","Female","Low","Very High","Excellent",2,"Research Scientist","Divorced",5329,7,"Yes",12,"Very High",3,17,3,"Better",13,11,1,9,"No"
34,"Travel_Rarely","Research & Development",1,"College","Medical","Low","Male","High","Medium","Excellent",2,"Manufacturing Director","Married",4325,1,"No",15,"High",0,5,2,"Better",5,2,1,3,"No"
56,"Travel_Rarely","Research & Development",7,"Bachelor","Life Sciences","Very High","Male","Low","Very High","Excellent",3,"Manufacturing Director","Single",7260,4,"No",11,"Low",0,37,3,"Good",6,4,0,2,"No"
23,"Travel_Rarely","Sales",2,"Below College","Technical Degree","High","Male","High","Low","Excellent",1,"Sales Representative","Divorced",2322,3,"No",13,"High",1,3,3,"Better",0,0,0,0,"No"
51,"Travel_Rarely","Research & Development",9,"Master","Life Sciences","Very High","Male","High","Very High","Outstanding",1,"Laboratory Technician","Married",2075,3,"No",23,"Medium",2,10,4,"Better",4,2,0,3,"No"
30,"Travel_Rarely","Research & Development",2,"Bachelor","Life Sciences","High","Male","Medium","Very High","Excellent",2,"Healthcare Representative","Married",4152,1,"No",19,"Low",3,11,3,"Better",11,10,10,8,"No"
46,"Travel_Rarely","Sales",9,"College","Medical","High","Male","Medium","Very High","Excellent",3,"Sales Executive","Single",9619,1,"No",16,"Very High",0,9,3,"Better",9,8,4,7,"Yes"
40,"Travel_Frequently","Research & Development",1,"Master","Life Sciences","High","Male","Medium","Medium","Outstanding",4,"Healthcare Representative","Married",13503,1,"No",22,"Very High",1,22,3,"Good",22,3,11,11,"No"
51,"Travel_Rarely","Sales",21,"Master","Marketing","High","Male","High","Very High","Outstanding",2,"Sales Executive","Single",5441,0,"Yes",22,"Very High",0,11,2,"Bad",10,7,1,0,"No"
30,"Travel_Rarely","Sales",4,"College","Medical","High","Female","Medium","Medium","Excellent",2,"Sales Executive","Divorced",5209,1,"Yes",12,"Medium",3,11,4,"Good",11,8,2,7,"No"
46,"Travel_Frequently","Research & Development",1,"Bachelor","Medical","High","Male","Medium","Low","Excellent",3,"Healthcare Representative","Married",10673,2,"Yes",13,"High",1,21,5,"Good",10,9,9,5,"No"
32,"Travel_Rarely","Sales",6,"Master","Medical","Medium","Male","High","High","Excellent",2,"Sales Executive","Single",5010,1,"No",16,"Low",0,12,0,"Better",11,8,5,7,"No"
54,"Travel_Rarely","Research & Development",2,"Master","Technical Degree","Low","Female","High","High","Excellent",3,"Research Director","Married",13549,9,"No",12,"Low",1,16,5,"Bad",4,3,0,3,"No"
24,"Travel_Rarely","Sales",3,"College","Other","Low","Female","High","High","Outstanding",2,"Sales Executive","Married",4999,0,"No",21,"Low",1,4,2,"Good",3,2,0,2,"No"
28,"Non-Travel","Sales",4,"Bachelor","Medical","Medium","Male","High","High","Excellent",2,"Sales Executive","Married",4221,1,"No",15,"Medium",0,5,3,"Best",5,4,0,4,"No"
58,"Travel_Rarely","Sales",10,"Master","Medical","Very High","Male","High","High","Excellent",4,"Sales Executive","Single",13872,0,"No",13,"High",0,38,1,"Good",37,10,1,8,"No"
44,"Non-Travel","Research & Development",23,"Bachelor","Medical","Medium","Male","High","Medium","Excellent",2,"Laboratory Technician","Married",2042,4,"No",12,"High",1,17,3,"Best",3,2,1,2,"No"
37,"Travel_Rarely","Human Resources",6,"Master","Human Resources","High","Male","High","Low","Outstanding",1,"Human Resources","Divorced",2073,4,"Yes",22,"Very High",0,7,3,"Better",3,2,0,2,"Yes"
32,"Travel_Rarely","Research & Development",1,"Below College","Life Sciences","Very High","Male","High","Low","Excellent",1,"Research Scientist","Single",2956,1,"No",13,"Very High",0,1,2,"Better",1,0,0,0,"No"
20,"Travel_Frequently","Research & Development",6,"Bachelor","Life Sciences","Very High","Female","Medium","Very High","Excellent",1,"Laboratory Technician","Single",2926,1,"Yes",18,"Medium",0,1,5,"Better",1,0,1,0,"Yes"
34,"Travel_Rarely","Research & Development",6,"Master","Other","Low","Female","High","High","Excellent",2,"Research Scientist","Single",4809,1,"No",14,"High",0,16,3,"Better",16,13,2,10,"No"
37,"Non-Travel","Research & Development",2,"College","Life Sciences","High","Male","Medium","Very High","Excellent",2,"Healthcare Representative","Divorced",5163,5,"No",14,"Very High",1,17,2,"Best",1,0,0,0,"No"
59,"Non-Travel","Human Resources",2,"Master","Human Resources","High","Female","Medium","Very High","Outstanding",5,"Manager","Married",18844,9,"No",21,"Very High",1,30,3,"Better",3,2,2,2,"No"
50,"Travel_Frequently","Research & Development",1,"Bachelor","Life Sciences","Low","Female","High","Medium","Excellent",5,"Research Director","Married",18172,3,"Yes",19,"Low",0,28,1,"Good",8,3,0,7,"No"
25,"Travel_Rarely","Sales",5,"Bachelor","Marketing","High","Male","Medium","High","Excellent",2,"Sales Executive","Single",5744,1,"Yes",11,"Very High",0,6,1,"Better",6,4,0,3,"Yes"
25,"Travel_Rarely","Research & Development",7,"Below College","Medical","Very High","Male","Medium","Very High","Excellent",1,"Research Scientist","Married",2889,1,"No",11,"High",2,2,2,"Better",2,2,2,1,"No"
22,"Travel_Rarely","Research & Development",15,"Bachelor","Medical","Medium","Female","High","Very High","Excellent",1,"Laboratory Technician","Single",2871,1,"No",15,"High",0,1,5,"Better",0,0,0,0,"No"
51,"Travel_Frequently","Research & Development",1,"Master","Medical","Low","Female","Medium","Low","Outstanding",3,"Healthcare Representative","Single",7484,3,"No",20,"High",0,23,1,"Good",13,12,12,8,"No"
34,"Travel_Frequently","Research & Development",7,"Bachelor","Life Sciences","Low","Male","Low","High","Outstanding",2,"Laboratory Technician","Single",6074,1,"Yes",24,"Very High",0,9,3,"Better",9,7,0,6,"Yes"
54,"Non-Travel","Human Resources",26,"Bachelor","Human Resources","Very High","Female","Very High","Very High","Excellent",4,"Manager","Single",17328,2,"Yes",12,"High",0,23,3,"Better",5,3,4,4,"No"
24,"Travel_Rarely","Research & Development",18,"Below College","Life Sciences","Medium","Male","High","High","Excellent",1,"Laboratory Technician","Married",2774,0,"No",12,"High",1,6,2,"Better",5,3,1,2,"No"
34,"Travel_Rarely","Research & Development",6,"Master","Life Sciences","High","Female","Medium","Medium","Excellent",2,"Research Scientist","Divorced",4505,6,"No",15,"High",1,12,3,"Better",1,0,0,0,"No"
37,"Travel_Rarely","Sales",3,"Bachelor","Life Sciences","High","Male","High","Very High","Excellent",3,"Sales Executive","Single",7428,2,"No",12,"Low",0,12,3,"Better",5,3,1,3,"No"
34,"Travel_Rarely","Research & Development",5,"Bachelor","Medical","High","Female","Medium","Low","Excellent",3,"Manager","Single",11631,2,"No",12,"Very High",0,14,6,"Better",11,10,5,8,"No"
36,"Travel_Frequently","Sales",11,"College","Technical Degree","Medium","Female","High","Very High","Excellent",3,"Sales Executive","Married",9738,0,"No",14,"High",1,10,6,"Better",9,7,2,8,"No"
36,"Travel_Rarely","Research & Development",3,"College","Life Sciences","Low","Female","High","Very High","Outstanding",1,"Laboratory Technician","Divorced",2835,5,"No",22,"Low",1,7,2,"Better",1,0,0,0,"No"
43,"Travel_Frequently","Sales",26,"College","Life Sciences","High","Male","High","Very High","Excellent",4,"Manager","Married",16959,1,"Yes",12,"Very High",2,25,3,"Best",25,12,4,12,"No"
30,"Travel_Frequently","Research & Development",23,"Bachelor","Life Sciences","Low","Male","Low","High","Outstanding",1,"Research Scientist","Divorced",2613,1,"No",25,"High",3,10,2,"Good",10,7,0,9,"No"
33,"Non-Travel","Sales",22,"College","Marketing","High","Male","High","Medium","Excellent",2,"Sales Executive","Married",6146,0,"No",13,"Low",1,8,2,"Best",7,7,0,7,"No"
56,"Travel_Rarely","Research & Development",14,"Master","Life Sciences","Medium","Female","High","Medium","Excellent",1,"Research Scientist","Married",4963,9,"Yes",18,"Low",3,7,2,"Better",5,4,4,3,"Yes"
51,"Travel_Rarely","Research & Development",6,"Bachelor","Life Sciences","Low","Male","High","High","Excellent",5,"Research Director","Single",19537,7,"No",13,"High",0,23,5,"Better",20,18,15,15,"No"
31,"Travel_Rarely","Sales",6,"Master","Life Sciences","Medium","Male","Low","High","Excellent",2,"Sales Executive","Married",6172,4,"Yes",18,"Medium",0,12,3,"Good",7,7,7,7,"Yes"
26,"Travel_Rarely","Research & Development",6,"Bachelor","Other","High","Female","Medium","Medium","Excellent",1,"Research Scientist","Married",2368,1,"No",19,"High",0,5,3,"Good",5,4,4,3,"No"
58,"Travel_Rarely","Research & Development",23,"Master","Medical","Very High","Female","High","Very High","Excellent",3,"Healthcare Representative","Married",10312,1,"No",12,"Very High",1,40,3,"Good",40,10,15,6,"Yes"
19,"Travel_Rarely","Sales",22,"Below College","Marketing","Very High","Male","High","High","Excellent",1,"Sales Representative","Single",1675,1,"Yes",19,"Very High",0,0,2,"Good",0,0,0,0,"Yes"
22,"Travel_Rarely","Research & Development",2,"Below College","Technical Degree","High","Male","High","Very High","Excellent",1,"Laboratory Technician","Married",2523,0,"No",14,"High",1,3,2,"Better",2,1,2,1,"No"
49,"Travel_Rarely","Research & Development",20,"Master","Medical","High","Female","High","Low","Excellent",2,"Manufacturing Director","Married",6567,1,"No",14,"High",0,16,2,"Good",15,11,5,11,"No"
43,"Travel_Frequently","Research & Development",28,"Bachelor","Medical","Medium","Female","Very High","High","Excellent",1,"Research Scientist","Single",4739,4,"No",12,"Very High",0,18,2,"Better",3,2,1,2,"No"
50,"Travel_Frequently","Sales",12,"Bachelor","Marketing","High","Female","High","Very High","Excellent",3,"Sales Executive","Single",9208,4,"No",11,"Very High",0,16,3,"Better",2,2,2,1,"No"
31,"Travel_Rarely","Sales",20,"Bachelor","Life Sciences","Medium","Female","Low","High","Excellent",2,"Sales Executive","Married",4559,3,"Yes",11,"High",1,4,2,"Better",2,2,2,2,"Yes"
41,"Travel_Rarely","Sales",9,"Below College","Life Sciences","High","Male","High","High","Excellent",3,"Sales Executive","Divorced",8189,3,"Yes",13,"High",1,12,2,"Better",9,7,0,7,"No"
26,"Travel_Rarely","Human Resources",25,"Below College","Life Sciences","High","Female","High","High","Outstanding",1,"Human Resources","Married",2942,1,"No",23,"Very High",1,8,3,"Better",8,7,5,7,"No"
36,"Travel_Rarely","Research & Development",6,"College","Medical","Medium","Male","High","Medium","Outstanding",2,"Manufacturing Director","Divorced",4941,6,"No",20,"Very High",2,7,0,"Better",3,2,0,1,"No"
51,"Travel_Frequently","Research & Development",8,"Master","Life Sciences","Low","Male","Low","Very High","Excellent",3,"Manufacturing Director","Single",10650,2,"No",15,"Very High",0,18,2,"Better",4,2,0,3,"Yes"
